src,brand,prod_name,prod_price,prod_discount,prod_link,prod_thumbnail,2차분류
toun28,toun28,<3+1> 샴푸바 (윤기/건성) S19P(퍼퓸) 바오밥 3개입 + 노워시 트리트먼트바 증정,3300,3300,https://www.toun28.com/renew/product/259,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/259/S19_SUM_HOME.png,샴푸바
toun28,toun28,<3+1> 샴푸바 (두피쿨링/남성용) S20 멘톨 3개입+노워시 트리트먼트바 증정,3300,3300,https://www.toun28.com/renew/product/13,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/13/mini_S20_treat.png,샴푸바
toun28,toun28,트리트먼트바 (탄력) 노워시,1500,1500,https://www.toun28.com/renew/product/24,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/24/노워시트리트먼트바(탄력)스토어썸네일.png,트리트먼트바
toun28,toun28,트리트먼트바 (손상) 노워시,1500,1500,https://www.toun28.com/renew/product/25,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/25/공통_280x295_트리트먼트바_건성1.png,트리트먼트바
toun28,toun28,바오밥 헤어 퍼퓸 미스트 + 미니 우드 브러쉬 세트,3610,3610,https://www.toun28.com/renew/product/343,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/343/mist_brush_280x295.jpg,헤어퍼퓸
toun28,toun28,바오밥 헤어 퍼퓸 미스트 + 미니 샴푸바 세트,3800,3800,https://www.toun28.com/renew/product/344,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/344/mist_soap_280x295.jpg,헤어퍼퓸
toun28,toun28,마인드풀 헤어 퍼퓸 미스트 + 미니 우드 브러쉬 세트,3610,3610,https://www.toun28.com/renew/product/345,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/345/mind_brush_280x295.jpg,헤어퍼퓸
toun28,toun28,마인드풀 헤어 퍼퓸 미스트 + 미니 샴푸바 세트,3800,3800,https://www.toun28.com/renew/product/346,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/346/mind_soap_280x295.jpg,헤어퍼퓸
toun28,toun28,바오밥 헤어 에센셜 오일 + 미니 우드 브러쉬 세트,3610,3610,https://www.toun28.com/renew/product/347,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/347/oil_brush_280x295.jpg,헤어 오일
toun28,toun28,바오밥 헤어 에센셜 오일 + 미니 샴푸바 세트,3800,3800,https://www.toun28.com/renew/product/348,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/348/oil_soap_280x295.jpg,헤어 오일
toun28,toun28,바오밥 헤어 퍼퓸 미스트 100ml,2560,2560,https://www.toun28.com/renew/product/362,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/362/baobob_hairmist_400_421_2.png,헤어 오일
toun28,toun28,마인드풀 헤어 퍼퓸 미스트 100ml,2560,2560,https://www.toun28.com/renew/product/361,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/361/mindful_baobob_hairmist_400_421.png,헤어 오일
toun28,toun28,바오밥 헤어 에센셜 오일 100ml,2560,2560,https://www.toun28.com/renew/product/360,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/360/baobob_hairoil_400_421.png,헤어 오일
toun28,toun28,"샴푸바 (모발보습케어) S19 바오밥, 3EA",3130,3130,https://www.toun28.com/renew/product/17,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/17/SUM.png,샴푸바
toun28,toun28,"샴푸바 (두피쿨링/남성용) S20 멘톨, 3EA",3130,3130,https://www.toun28.com/renew/product/18,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/18/공통_S20_3개입_thum.png,샴푸바
toun28,toun28,"샴푸바 (지성/각질케어) S18 다시마, 3EA",3130,3130,https://www.toun28.com/renew/product/16,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/16/공통_S18_3개입_thum.png,샴푸바
toun28,toun28,"샴푸바 (윤기/건성) S19P(퍼퓸) 바오밥, 3EA",3130,3130,https://www.toun28.com/renew/product/283,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/283/S19P_SUM.png,샴푸바
toun28,toun28,"샴푸바 (두피장벽강화) S21 검은콩, 3EA",3130,3130,https://www.toun28.com/renew/product/19,https://toun28dev.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/19/공통_S21_3개입_thum.png,샴푸바
toun28,toun28,샴푸바 (모발보습케어) S19 바오밥,1100,1100,https://www.toun28.com/renew/product/21,https://toun28.s3.ap-northeast-2.amazonaws.com/data/contents/product_group/21/s19_280x295_제품.png,샴푸바
